client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,Age,Cluster
C0001,1,Kareem,Liu,1968-05-11,0,9,8,0,4,1,2,58,1
C0002,1,Trystan,Oconnor,1962-11-26,1,9,8,0,1,0,2,64,1
C0003,1,Kale,Gay,1959-04-07,1,9,8,0,4,1,0,67,1
C0004,1,Russell,Gross,1959-11-25,1,9,8,0,5,0,2,67,1
C0005,0,Marleez,Co,1976-02-28,1,9,8,1,5,0,2,50,0
C0006,1,Yurem,Wright,1957-03-06,1,9,8,0,3,1,2,69,1
C0007,1,Xavier,Faulkner,1947-05-24,1,2,40,1,5,0,2,79,2
C0008,1,Kayden,Olsen,1969-10-17,0,9,8,0,5,0,2,57,1
C0009,1,Joaquin,Mullins,1975-10-05,1,9,8,1,5,0,0,51,0
C0010,1,Nicolas,Navarro,1966-06-17,1,9,37,1,3,0,0,60,0
C0011,1,Laci,Guerra,1956-06-17,0,9,8,0,2,1,2,70,1
C0012,0,Kylax,Co,1975-04-25,1,9,8,1,5,0,2,51,0
C0013,1,Harley,Lucero,1962-08-10,1,9,8,0,1,1,2,64,1
C0014,0,Esther,Co,1980-07-10,1,9,8,0,3,1,2,46,0
C0015,1,Jaylynn,Hickman,1941-08-19,0,9,8,0,5,0,1,85,1
C0016,1,Olivia,Oconnell,1939-09-03,0,9,8,1,5,0,2,87,0
C0017,1,Antonio,Porter,1977-01-08,1,9,1,0,3,0,1,49,1
C0018,1,Luke,Lynn,1967-02-07,1,9,8,0,2,1,0,59,1
C0019,1,Anahi,Curry,1957-09-09,1,9,8,0,5,1,1,69,1
C0020,1,Camille,Sharp,1967-10-17,0,9,8,0,5,0,2,59,1
C0021,1,Jesus,Obrien,1938-06-09,1,9,37,1,3,0,2,88,0
C0022,1,Araceli,Nelson,1966-09-14,1,5,4,1,5,0,0,60,0
C0023,1,Cole,Taylor,1958-12-06,1,9,8,0,3,1,2,68,1
C0024,1,Alonso,Terrell,1963-11-05,1,9,8,1,4,0,2,63,0
C0025,1,Rodolfo,Gibson,1937-01-20,1,9,25,0,2,1,2,89,1
C0026,1,Joseph,Reeves,1962-09-23,1,9,8,1,5,0,2,64,0
C0027,1,Grant,Weber,1968-09-08,1,9,8,0,5,1,2,58,1
C0028,1,Ava,Phelps,1958-04-15,0,9,8,0,3,0,1,68,1
C0029,1,Kyla,Walker,1976-02-26,0,9,11,0,4,1,0,50,1
C0030,1,Alanna,Hess,1952-06-19,0,9,25,0,3,0,2,74,1
C0031,1,Skylar,Buchanan,1977-12-25,1,9,25,0,4,1,2,49,1
C0032,1,Rodrigo,Robinson,1966-08-11,1,9,8,0,4,0,2,60,1
C0033,1,Lydia,Tate,1968-08-14,0,9,8,0,3,1,2,58,1
C0034,1,Lauryn,Patrick,1969-10-30,0,1,7,0,2,0,0,57,2
C0035,1,Diego,Mendez,1965-05-12,1,6,23,0,3,0,0,61,1
C0036,1,Victor,Jensen,1973-09-01,1,9,8,0,4,0,2,53,1
C0037,1,Scarlet,Hendricks,1962-01-20,0,9,8,0,5,1,2,64,1
C0038,1,Janelle,Espinoza,1974-12-25,0,9,8,1,4,0,1,52,0
C0039,1,Aleksandra,Karenina,1967-06-13,0,7,21,0,1,0,0,59,1
C0040,1,Conner,Huff,1975-03-22,1,9,25,0,5,0,2,51,1
C0041,1,Zain,Horne,1967-04-13,1,9,1,0,1,1,2,59,1
C0042,1,Maia,Chandler,1975-08-12,0,9,48,0,1,1,2,51,1
C0043,1,Jordyn,Park,1965-04-04,1,9,25,1,3,1,2,61,0
C0044,1,Diana,Hunt,1931-02-13,0,9,1,0,3,0,2,95,1
C0045,1,Kevin,Mata,1968-10-12,1,9,11,1,2,0,0,58,0
C0046,1,Brisa,Mckee,1964-09-24,0,9,8,0,5,0,1,62,1
C0047,1,Mason,Gilbert,1970-07-31,1,9,11,0,2,0,0,56,1
C0048,1,Derick,Li,1957-03-20,1,9,8,0,3,1,0,69,1
C0049,1,Jace,Riggs,1971-08-20,0,9,8,0,1,0,2,55,1
C0050,1,Jair,Johns,1940-03-05,1,9,8,0,5,0,2,86,1
C0051,1,Matilda,Madden,1941-03-03,0,9,11,0,3,0,0,85,1
C0052,1,Myla,Ewing,1967-02-03,0,9,37,1,2,0,1,59,0
C0053,1,Miguel,Walter,1954-01-07,1,9,1,0,4,0,0,72,1
C0054,0,Bridger CAL,Co,1967-02-15,1,9,25,1,5,0,2,59,0
C0055,1,Mara,Franco,1973-06-07,0,9,8,0,5,1,0,53,1
C0056,1,Erik,Mora,1964-12-07,1,9,37,1,5,0,0,62,0
C0057,1,Henry,Kennedy,1933-06-08,1,9,8,0,4,1,0,93,1
C0058,0,Kenyon,Co,1969-05-03,0,9,8,1,1,1,2,57,0
C0059,1,Oswaldo,Palmer,1960-06-16,1,9,8,0,2,0,2,66,1
C0060,1,Kassidy,Vega,1972-05-07,0,9,8,0,5,0,2,54,1
C0061,1,Morgan,Glass,1967-05-12,1,9,48,0,5,0,0,59,1
C0062,1,Tyler,Carr,1974-03-27,1,9,8,0,5,1,1,52,1
C0063,1,Yesenia,Marquez,1942-07-23,0,9,1,0,4,0,2,84,1
C0064,1,Gordon,Brown,1974-02-10,1,8,31,1,4,0,0,52,0
C0065,1,Rodrigo,Ramirez,1972-03-26,1,9,8,0,1,0,0,54,1
C0066,1,Melanie,Holland,1974-12-25,0,9,8,1,3,0,1,52,0
C0067,1,Enrique,Cardenas,1977-06-10,1,9,8,0,2,0,2,49,1
C0068,1,Helen,Williamson,1966-02-26,0,9,11,0,5,1,0,60,1
C0069,1,Isis,Rios,1970-04-01,1,9,8,1,4,0,2,56,0
C0070,1,Kayley,Nielsen,1947-04-27,0,9,1,0,4,1,2,79,1
C0071,1,Donavan,Flowers,1985-12-27,1,9,8,0,1,1,1,41,1
C0072,1,Augustus,Hinton,1953-02-03,1,9,25,1,2,0,2,73,0
C0073,1,Alejandra,Greer,1965-01-11,0,3,9,1,1,0,0,61,2
C0074,1,Violet,Nixon,1959-01-01,0,9,37,1,5,0,1,67,0
C0075,1,Jaelyn,Berger,1970-05-05,0,9,8,0,3,0,2,56,1
C0076,1,Tristian,Fuller,1956-03-13,1,9,8,0,5,0,0,70,1
C0077,1,Christian,Costa,1980-09-14,1,9,8,0,5,0,2,46,1
C0078,1,Nora,Lynch,1948-04-23,0,9,8,0,5,0,2,78,1
C0079,1,Dangelo,Shea,1954-02-27,1,1,7,1,4,0,2,72,2
C0080,1,Aiyana,Christensen,1949-01-16,0,9,8,1,3,0,2,77,0
C0081,1,Sidney,Cline,1943-07-24,0,9,8,0,4,1,2,83,1
C0082,1,Kaitlin,Owen,1981-12-26,0,9,50,1,5,0,1,45,0
C0083,1,Issac,Edwards,1938-10-29,1,9,8,0,5,0,2,88,1
C0084,1,Zaiden,Merritt,1948-02-23,1,9,55,0,3,0,0,78,1
C0085,1,Iris,Larsen,1966-09-14,1,9,8,0,4,1,0,60,1
C0086,1,Grace,Stein,1968-12-20,0,9,8,0,3,1,2,58,1
C0087,1,Alessandra,Perry,1979-05-15,0,9,8,0,4,0,0,47,1
C0088,1,Jamal,Mueller,1936-08-13,1,9,37,1,2,0,2,90,0
C0089,1,Irvin,Ellis,1949-11-14,1,9,8,0,3,0,0,77,1
